ParcelNumber,SaleAmount,SaleDate,Bedrooms,YearBuilt,SquareFootageFinishedLiving,Grade
030093100,315000,2009,6,1958.0,2160.0,C
030096000,67000,1998,4,1962.0,1200.0,C
030096000,30000,1984,4,1962.0,1200.0,C
030108000,90000,2004,0,1957.0,871.0,D
030108000,53000,2000,0,1957.0,871.0,D
030109000,220000,2015,3,1959.0,1229.0,C +
030109000,70000,2002,3,1959.0,1229.0,C +
030109000,180000,2006,3,1959.0,1229.0,C +
030109000,119500,2004,3,1959.0,1229.0,C +
030109000,304000,2020,3,1959.0,1229.0,C +
030110000,45000,1989,3,1959.0,1434.0,C
030110000,47600,1999,3,1959.0,1434.0,C
030110000,175000,2005,3,1959.0,1434.0,C
030110000,135000,2010,3,1959.0,1434.0,C
030110000,48800,1999,3,1959.0,1434.0,C
030111000,145000,2017,2,1959.0,780.0,C
030111000,381000,2022,2,1959.0,780.0,C
030111000,200000,2022,2,1959.0,780.0,C
030113000,195000,2017,3,1959.0,793.0,C
030113000,195000,2017,3,1959.0,793.0,C
030113000,141900,2012,3,1959.0,793.0,C
030113000,125000,2012,3,1959.0,793.0,C
030113000,141900,1991,3,1959.0,793.0,C
030113000,145000,1999,3,1959.0,793.0,C
030124000,1250,1961,2,1962.0,1512.0,C
030127000,5500,1957,2,1955.0,1120.0,C
030127000,215000,2006,2,1955.0,1120.0,C
030130000,36600,1977,7,1962.0,1465.0,B
040007000,50000,1990,4,1966.0,1540.0,C
040007100,251500,2020,2,1957.0,950.0,C
040010000,250000,2009,6,1951.0,1792.0,C
040010000,40000,1986,6,1951.0,1792.0,C
040014100,12000,1999,3,2002.0,1440.0,C
040019000,82500,2002,1,1951.0,568.0,D
040019000,82500,2002,6,1959.0,1656.0,C
040020000,195000,2012,2,1952.0,1535.0,D
040020000,132282,2007,2,1952.0,1535.0,D
040020000,215000,2008,2,1952.0,1535.0,D
040020000,80000,1993,2,1952.0,1535.0,D
040022000,1947,1983,3,1953.0,1474.0,D
040023000,44700,1995,1,1952.0,640.0,D
040025000,40000,1984,2,1975.0,940.0,C
040029000,84900,1999,2,1968.0,935.0,C
040039100,44200,2000,2,1961.0,1008.0,D
040039100,53000,1991,2,1961.0,1008.0,D
040039200,53000,1991,3,2004.0,1584.0,C
040039200,14400,2000,3,2004.0,1584.0,C
040040000,42000,2001,0,1955.0,795.0,D
040043000,475000,2022,2,1956.0,582.0,D
040043000,64000,1993,2,1956.0,582.0,D
040044L00,34000,1981,3,1981.0,1008.0,D
040047000,355000,2007,3,2006.0,1856.0,B
040047000,590000,2022,3,2006.0,1856.0,B
040047000,85000,2006,3,2006.0,1856.0,B
040048000,79000,1999,3,1951.0,1419.0,C -
040049000,160000,2017,4,1964.0,1632.0,D
040049000,56200,1982,4,1964.0,1632.0,D
040057000,7500,1977,3,1963.0,864.0,C -
040057000,67000,2013,3,1963.0,864.0,C -
040057000,239000,2020,3,1963.0,864.0,C -
040058000,65000,2003,3,1953.0,1077.0,D
040058000,52850,1996,3,1953.0,1077.0,D
040067000,386000,2014,4,2014.0,2284.0,B -
040067000,12000,1992,4,2014.0,2284.0,B -
040067000,63000,2013,4,2014.0,2284.0,B -
040071000,127500,2003,4,1959.0,1391.0,C
040071000,86000,1992,4,1959.0,1391.0,C
040071000,115000,1999,4,1959.0,1391.0,C
040076000,170000,2016,4,1950.0,2288.0,B
040076000,50000,2015,4,1950.0,2288.0,B
040076000,600000,2021,4,1950.0,2288.0,B
040076000,140000,2012,4,1950.0,2288.0,B
040080000,55500,1994,3,1979.0,1000.0,C
040082000,6000,1976,3,1976.0,1008.0,C +
040082000,417500,2021,3,1976.0,1008.0,C +
040082000,219500,2017,3,1976.0,1008.0,C +
040086000,9000,1986,6,1987.0,2560.0,C
040086000,245000,2007,6,1987.0,2560.0,C
040086000,265500,2017,6,1987.0,2560.0,C
040087000,45000,1984,3,1961.0,1383.0,D
040087000,118500,2002,3,1961.0,1383.0,D
040099000,40000,1994,4,1976.0,1392.0,B
040099000,125000,2015,4,1976.0,1392.0,B
040099000,235000,2018,4,1976.0,1392.0,B
040099000,416000,2020,4,1976.0,1392.0,B
040103000,3900,1968,3,1968.0,961.0,B
040107100,4000,1968,3,1972.0,1350.0,C
040108100,3500,1968,2,1971.0,1168.0,C
040135000,122500,1994,4,1992.0,1860.0,C
040135000,295000,2017,4,1992.0,1860.0,C
040136000,85000,2000,4,1983.0,1792.0,C +
040136000,265000,2017,4,1983.0,1792.0,C +
040136000,78500,1990,4,1983.0,1792.0,C +
040137000,340000,2021,2,1997.0,900.0,C +
040137000,180000,2008,2,1997.0,900.0,C +
040137000,25000,1994,2,1997.0,900.0,C +
040137000,222000,2015,2,1997.0,900.0,C +
040137100,347333,2021,2,1997.0,896.0,C +
040137100,25000,1994,2,1997.0,896.0,C +
040137100,280000,2019,2,1997.0,896.0,C +
040137100,180000,2008,2,1997.0,896.0,C +
040137100,240000,2015,2,1997.0,896.0,C +
040139000,100000,2019,3,2021.0,1440.0,C
040139000,274900,2021,3,2021.0,1440.0,C
040139000,800000,2007,3,2021.0,1440.0,C
040139100,100000,2019,4,2021.0,1368.0,C
040139100,725,1953,4,2021.0,1368.0,C
040139100,6000,2001,4,2021.0,1368.0,C
040139100,274900,2021,4,2021.0,1368.0,C
040139100,800000,2007,4,2021.0,1368.0,C
040147000,286000,2008,4,2004.0,1554.0,C
040147000,11000,2004,4,2004.0,1554.0,C
040147000,220000,2005,4,2004.0,1554.0,C
040154000,12000,1973,3,1959.0,936.0,D
040155000,5500,1981,5,2006.0,2000.0,B
040155000,100,2004,5,2006.0,2000.0,B
040155000,270000,2007,5,2006.0,2000.0,B
040155000,10500,1998,5,2006.0,2000.0,B
040155100,280000,2007,5,2006.0,2000.0,B
